City,State,Provider_number,Distinct_Referral_Pairs,Referral_Volume,Total_Num_Referral_Triples_sum
APOLLO BEACH,FLORIDA,1,1,47,1
APOPKA,FLORIDA,43,230,41848,230
APPLE VALLEY,CALIFORNIA,113,1714,215378,1714
APPLE VALLEY,MINNESOTA,17,33,2608,33
APPLETON,MINNESOTA,2,7,6940,7
APPLETON,WISCONSIN,366,6433,822189,6433
APPLETON CITY,MISSOURI,2,7,16762,7
APPOMATTOX,VIRGINIA,5,19,4114,19
APTOS,CALIFORNIA,5,7,419,7
ARAB,ALABAMA,5,19,4028,19
ARANSAS PASS,TEXAS,13,81,25466,81
ARAPAHOE,WYOMING,4,5,532,5
ARBUCKLE,CALIFORNIA,1,1,664,1
ARCADE,NEW YORK,3,4,423,4
ARCADIA,CALIFORNIA,192,5850,1249930,5850
ARCADIA,FLORIDA,27,283,265039,283
ARCADIA,WISCONSIN,6,23,12397,23
ARCANUM,OHIO,3,9,1611,9
ARCARDIA,CALIFORNIA,2,2,1045,2
ARCATA,CALIFORNIA,59,404,114847,404
ARCHBOLD,OHIO,8,29,4275,29
ARCHDALE,NORTH CAROLINA,2,2,97,2
ARCOLA,ILLINOIS,1,2,1226,2
ARDEN,NORTH CAROLINA,21,38,2332,38
ARDMORE,OKLAHOMA,115,3186,798393,3186
ARDMORE,PENNSYLVANIA,5,9,319,9
ARDSLEY,NEW YORK,10,25,6935,25
ARECIBO,PUERTO RICO,73,253,29616,253
ARGOS,INDIANA,3,7,4268,7
ARGYLE,NEW YORK,1,2,235,2
ARKADELPHIA,ARKANSAS,16,179,46603,179
ARKANSAS CITY,KANSAS,18,178,108997,178
ARLETA,CALIFORNIA,4,10,1695,10
ARLINGTON,GEORGIA,4,18,6681,18
ARLINGTON,MASSACHUSETTS,25,106,15742,106
ARLINGTON,MINNESOTA,6,29,15363,29
ARLINGTON,OHIO,2,4,1577,4
ARLINGTON,SOUTH DAKOTA,1,1,20,1
ARLINGTON,TEXAS,383,7576,1141417,7576
ARLINGTON,VERMONT,3,5,5231,5
ARLINGTON,VIRGINIA,292,6476,989269,6476
ARLINGTON,WASHINGTON,51,402,79955,402
ARLINGTON HEIGHTS,ILLINOIS,325,13948,2252861,13948
ARLINGTON HTS,ILLINOIS,12,19,3048,19
ARMONK,NEW YORK,5,5,474,5
ARMOUR,SOUTH DAKOTA,5,35,28722,35
ARMUCHEE,GEORGIA,3,6,384,6
ARNAUDVILLE,LOUISIANA,4,11,10581,11
ARNOLD,CALIFORNIA,7,19,5704,19
ARNOLD,MARYLAND,12,31,2471,31
ARNOLD,MISSOURI,3,4,228,4
ARNOLD,PENNSYLVANIA,1,1,136,1
ARRINGTON,VIRGINIA,5,8,12905,8
ARROYO,PUERTO RICO,9,13,1715,13
ARROYO GRANDE,CALIFORNIA,47,433,153695,433
ARTESIA,CALIFORNIA,3,3,228,3
ARTESIA,NEW MEXICO,19,140,33394,140
ARVADA,COLORADO,26,94,30204,94
ARVERNE,NEW YORK,10,26,11256,26
ARVIN,CALIFORNIA,1,1,704,1
ASBURY PARK,NEW JERSEY,13,21,4924,21
ASH FLAT,ARKANSAS,2,4,1029,4
ASH GROVE,MISSOURI,2,2,1324,2
ASHBURN,GEORGIA,5,16,9987,16
ASHBURN,VIRGINIA,21,36,3041,36
ASHDOWN,ARKANSAS,4,26,31937,26
ASHEBORO,NORTH CAROLINA,112,2589,534327,2589
ASHEVILLE,NORTH CAROLINA,925,44489,4828547,44489
